,0
0,AI Engineer
1,Asst. Manager/ Manger (Administrative)
2,Business Development Executive
3,Civil Engineer
4,Data Engineer
5,Data Science Engineer
6,Database Administrator (DBA)
7,DevOps Engineer
8,Executive - VAT
9,"Executive/ Senior Executive- Trade Marketing, Hygiene Products"
10,HR Officer
11,Head of Internal Control & Compliance (ICC) - SEVP/DMD
12,Management Trainee - Mechanical
13,"Manager- Human Resource Management (HRM)
"
14,Marketing Officer
15,Mechanical Designer
16,Mechanical Engineer
17,Network Support Engineer
18,Project Coordinator (Civil)
19,Senior iOS Engineer
20,Site Engineer
21,Sr.Officer / Executive - Internal Audit
22,"System Administrator (Operation & Maintenance of Server, Storage & Service Desk System)"
